uid,decision,reason
33d626b0bfc9c6f3,accept,isolated cheese wedge with clean silhouette
40af36f9ca7b7251,accept,isolated cheese wheel with clean silhouette
761d31ea20252b57,accept,isolated triangular cheese wedge
a07684c77654caff,accept,isolated blue cheese block
baea8cd75ec14fa2,accept,isolated blue cheese slice
bf7e270b21d245ef,accept,isolated blue cheese wedge
e24f259a6f3ebb41,accept,isolated blue cheese slice
f09724e05f0b4821,accept,isolated cheese block at useful scale
0a55b92bceeb6e9e,accept,isolated natural-rind blue wedge
3ccf4b4937a08026,accept,isolated blue cheese slice
3643d9d8f6b044b8,accept,isolated blue cheese block
3c778c6395a338d7,accept,isolated square blue cheese slice
746d0cc6799567f8,accept,isolated triangular cheese wedge
cc990fa10ece58a1,accept,isolated irregular blue cheese pieces
21989c46bee540aa,accept,isolated cabrales wheel section
36546a4d87e07928,accept,isolated gorgonzola wedge
411902a513733a5b,accept,isolated stilton wedge
d4b0ab1c3d6737ea,accept,isolated blue cheese close-up
6b8ba6a2ea0a8c0f,accept,isolated stilton wedge
60e313718bff0a1c,accept,isolated validation cheese wedge
f17270a212d8d071,accept,isolated validation wheel and slice
52a58f8c8fd705c7,accept,isolated validation cheese wedge
22a3253e09922e8a,accept,isolated validation cabrales pieces
3331130fcb71e345,accept,isolated validation gorgonzola block
